id,author,gummy_name,text,stars,hardness,likes
1,グミ初心者,ピュレグミ プレミアム ピーチ,とろけるような桃のジュレが最高！すっぱいパウダーとの相性抜群で極上のご褒美感があります🍑,5,やわらかめ,3
2,ぶどう好き,コロロ ぶどう味,本物のぶどうを食べているかのようなジューシーでプチッとした新食感！皮が弾ける感じがたまりません🍇,4,やわらかめ,5
3,炭酸だいすき,ブルボン しゃりもにグミ ソーダ味,しゃりっとしたパウダーともにもにした不思議な食感が最高！ソーダの爽やかさが口いっぱいに広がります🥤,5,やわらかめ,8
4,アソートファン,コグミ ソーダアソート,ちっちゃいグミが袋にたくさん入ってて超かわいい！いろんな種類の炭酸ドリンク味をポイポイ食べられます🍬,4,やわらかめ,2
5,すっぱいマニア,ピュレグミ レモン味,ピュレグミといえばこれ！シャリシャリのすっぱいパウダーともっちり食感のハーモニーがたまりません🍋,5,ふつう,6
6,王道マスター,果汁グミ ぶどう,いつ食べても絶対に美味しい定番中の定番！果汁100%の優しい甘みと心地よい弾力が最高です🍇,5,ふつう,12
7,パスタ好き,フィットチーネグミ ソーダ味,アルデンテな独特のコシがあって美味しい！すっぱいソーダパウダーが効いていて気分転換になります🥤,4,ふつう,7
8,カラフルポップ,ポイフル ソーダ,糖衣がサクッとしていて中はぷにぷに！色んなソーダの味が楽しめてパクパク食べれちゃいます🍬,4,ふつう,4
9,刺激求む,ノーベル シン・サワーズグミ グレープ味,シン・サワパウダーのすっぱさが強烈！かためで噛みごたえもバッチリでグレープ味も濃厚です⚡🍇,5,かため,9
10,ハード派,ハリボー ゴールドベア,ハードグミといえばやっぱりハリボー！フルーティーな味が噛めば噛むほど広がって飽きない美味しさです🧸,5,かため,15
11,集中モード,タフグミ コーラ＆ソーダ,とにかく大きくて弾力がすごくて顎が鍛えられます！炭酸パウダーがガツンと効いて勉強のオトモに最高🔥,5,かため,10
12,極硬ファン,明治 コーラアップ,あごが疲れるくらいの超極硬ハード食感！王道の深いコーラ味が一粒でじっくり楽しめて最高です🥤,5,かため,11
